[training] 0.50% |      1/   200 [0:00:03<0:11:10, 3.35s/it] | LOSS: 0.4502 | LR: 0.0001 
[training] 1.00% |      2/   200 [0:00:03<0:05:38, 1.69s/it] | LOSS: 0.3112 | LR: 0.0001 
[training] 1.50% |      3/   200 [0:00:03<0:03:48, 1.14s/it] | LOSS: 0.2487 | LR: 0.0001 
[training] 2.00% |      4/   200 [0:00:03<0:02:53, 0.87s/it] | LOSS: 0.1424 | LR: 0.0001 
[training] 2.50% |      5/   200 [0:00:03<0:02:20, 0.70s/it] | LOSS: 0.2075 | LR: 0.0001 
[training] 3.00% |      6/   200 [0:00:03<0:01:58, 0.59s/it] | LOSS: 0.2425 | LR: 0.0001 
[training] 3.50% |      7/   200 [0:00:03<0:01:42, 0.51s/it] | LOSS: 0.2178 | LR: 0.0001 
[training] 4.00% |      8/   200 [0:00:03<0:01:30, 0.45s/it] | LOSS: 0.1428 | LR: 0.0001 
[training] 4.50% |      9/   200 [0:00:03<0:01:21, 0.41s/it] | LOSS: 0.1512 | LR: 0.0001 
[training] 5.00% |     10/   200 [0:00:03<0:01:14, 0.37s/it] | LOSS: 0.1258 | LR: 0.0001 
[training] 5.50% |     11/   200 [0:00:03<0:01:08, 0.34s/it] | LOSS: 0.1700 | LR: 0.0001 
